,Ticker,Sector,Sub-Sector,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
0,AOS,Industrial Goods , Industrial Electrical Equipment , USA,S&P; 500,24.82,2.34,0.70%,174.21M,-0.87%,10.10B,19.81,2.93,-9.06%,143.77M,-3.11%,405.30M,2.20,0.63,94.90%,4.11%,-8.08%,3.14B,3.22,17.30%,-0.20%,4.50,-9.49%,10.11,5.73,12.06%,10.60%,69.07,6.70%,3.78,15.34,11.30%,19.50%,53.42 - 68.39,-5.39%,0.72,46.14,19.90%,18.40%,-15.22%,1.45,1.24%,1.80,9.10%,41.20%,8.54%,1.15,16100,2.20,-43.60%,17.30%,42.12,1.62% 1.96%,Yes,0.14,-35.50%,10.50%,1.11,57.72,Yes,0.14,Jul 25 BMO,33.30%,1.32M,57.98,2.00,-1.41%,-3.76%,-7.02%,"1,459,526",0.45%
1,ATVI,Technology , Multimedia & Graphics Software , USA,S&P; 500,46.67,1.49,0.20%,754.74M,-1.00%,52.31B,22.78,3.04,-59.80%,714.46M,-14.38%,1.14B,3.09,0.50,89.30%,1.25%,-1.45%,7.27B,7.20,-7.00%,0.38%,1.65,-0.49%,13.60,5.10,15.67%,2.80%,80.69,11.84%,-,-,15.10%,5.10%,57.29 - 81.64,9.46%,0.34,26.65,3.40%,7.60%,-15.10%,0.89,0.49%,3.00,7.60%,65.20%,20.98%,2.02,9800,3.00,0.60%,20.60%,31.34,2.49% 2.58%,Yes,0.00,64.10%,6.90%,1.58,71.29,Yes,0.42,Aug 02 AMC,45.20%,5.39M,69.31,2.00,-7.00%,-8.59%,-0.92%,"8,541,058",-2.78%
2,AMD,Technology , Semiconductor - Broad Line , USA,-,-,-0.57,0.60%,1.00B,0.61%,19.73B,31.47,0.63,-80.58%,964.34M,16.78%,-801.00M,-,0.12,66.70%,17.41%,53.67%,6.53B,3.02,-75.80%,1.32%,2.47,61.48%,0.90,21.89,34.33%,8.80%,17.96,51.31%,0.98,20.07,0.56%,48.60%,9.04 - 20.28,91.63%,-,106.07,8.10%,-48.10%,-2.86%,3.03,-,1.30,-0.30%,35.80%,117.92%,0.76,8900,1.70,52.60%,7.30%,62.01,3.78% 4.41%,Yes,1.58,327.60%,5.00%,1.27,20.02,Yes,1.33,Jul 25 AMC,0.00%,67.93M,19.70,2.60,7.58%,16.88%,53.99%,"86,123,340",-1.60%
3,AFL,Financial , Accident & Health Insurance , USA,S&P; 500,12.48,3.71,0.30%,774.24M,-1.24%,35.84B,11.11,4.17,-4.24%,751.18M,7.80%,2.92B,1.47,0.99,71.40%,1.62%,1.94%,22.01B,1.63,4.20%,-0.08%,4.05,5.62%,30.79,1.50,2.28%,3.40%,47.20,13.93%,4.97,9.32,8.50%,20.50%,39.58 - 47.08,5.47%,1.04,7.11,1.90%,9.70%,-1.68%,0.94,2.25%,-,-3.80%,-,16.95%,0.53,11318,-,2.90%,20.10%,60.16,0.78% 1.10%,Yes,0.22,19.80%,22.00%,0.85,46.51,Yes,0.22,Jul 26 AMC,22.60%,3.00M,46.29,2.80,1.77%,3.61%,4.60%,"2,562,666",-0.47%
4,ALK,Services , Regional Airlines , USA,S&P; 500,14.20,4.49,0.40%,125.05M,-0.64%,7.97B,10.47,6.09,-3.25%,122.86M,3.14%,556.00M,1.75,1.55,89.10%,6.76%,7.85%,8.07B,0.99,-7.00%,0.58%,4.34,-4.52%,29.15,2.19,46.24%,7.70%,75.46,-24.04%,12.54,5.08,8.09%,23.90%,57.53 - 85.14,-13.29%,1.28,12.19,22.60%,13.40%,-25.14%,0.54,2.01%,0.70,11.20%,26.00%,10.79%,1.72,20183,0.70,2.60%,11.20%,54.20,2.04% 3.05%,Yes,0.64,-34.00%,10.40%,0.51,62.75,Yes,0.56,Jul 26 BMO,18.20%,1.92M,63.74,2.20,2.06%,2.57%,-1.37%,"973,042",1.58%
5,ALGN,Healthcare , Medical Appliances & Equipment , USA,S&P; 500,84.47,4.15,0.80%,80.69M,-4.30%,28.28B,55.98,6.26,-25.48%,72.76M,-5.42%,339.20M,3.24,1.19,80.30%,2.39%,21.70%,1.73B,16.31,65.70%,-0.54%,2.00,42.26%,15.20,23.06,25.53%,16.40%,409.40,96.92%,8.83,39.68,26.06%,25.20%,165.18 - 385.00,57.73%,-,82.51,40.40%,26.70%,-8.97%,1.53,-,2.10,21.30%,75.20%,112.16%,11.05,8715,2.20,37.50%,24.80%,40.90,2.74% 3.34%,Yes,0.00,29.60%,17.00%,1.23,368.66,Yes,0.00,Jul 25 AMC,0.00%,869.68K,350.45,1.80,-4.26%,-2.17%,23.87%,"1,067,781",-4.94%
6,LNT,Utilities , Electric Utilities , USA,S&P; 500,20.56,2.09,0.10%,232.40M,1.30%,10.00B,19.20,2.24,-2.11%,232.40M,0.33%,483.90M,3.58,0.83,73.40%,2.14%,5.21%,3.50B,2.86,20.60%,0.21%,3.27,12.88%,18.75,2.29,4.62%,3.40%,42.43,2.65%,0.02,1999.57,5.75%,11.40%,36.84 - 45.55,0.96%,1.34,-,6.20%,6.20%,-5.55%,0.22,3.11%,0.50,1.80%,93.40%,16.78%,0.68,3989,0.60,6.60%,19.40%,59.00,1.25% 1.53%,Yes,1.28,5.10%,13.80%,0.89,42.73,Yes,1.18,Aug 02 AMC,62.20%,1.52M,43.02,2.80,0.93%,2.69%,3.67%,"1,355,465",0.68%
7,MO,Consumer Goods , Cigarettes , USA,S&P; 500,15.67,3.84,0.10%,1.89B,2.68%,113.80B,13.84,4.35,-0.07%,1.88B,4.93%,7.30B,1.55,1.07,64.00%,1.39%,9.68%,25.24B,4.51,-51.10%,-0.60%,3.54,-7.67%,8.35,7.21,8.59%,24.30%,67.24,-7.84%,0.76,79.58,10.14%,72.10%,53.91 - 74.38,-15.73%,2.80,70.20,11.60%,24.00%,-19.09%,0.66,4.65%,0.30,0.80%,48.60%,11.63%,0.97,8300,0.60,-5.40%,37.90%,61.30,1.37% 1.75%,Yes,0.88,-1.70%,41.90%,0.93,59.21,Yes,0.83,Jul 26 BMO,47.30%,7.42M,60.18,2.00,3.04%,4.30%,-3.96%,"6,916,207",1.64%
8,AEP,Utilities , Electric Utilities , USA,S&P; 500,18.62,3.86,0.02%,493.49M,1.18%,35.42B,17.39,4.13,-0.81%,492.85M,1.89%,1.90B,3.33,1.17,72.60%,1.35%,8.50%,15.98B,2.22,206.90%,-1.61%,2.21,9.91%,38.05,1.89,5.58%,3.00%,74.56,0.35%,0.76,94.62,5.59%,10.50%,62.71 - 78.07,-2.45%,2.48,-,8.10%,6.30%,-8.07%,0.08,3.46%,0.40,0.60%,79.40%,14.46%,1.04,17666,0.50,12.20%,20.00%,65.07,1.12% 1.41%,Yes,1.31,40.70%,12.10%,0.78,71.02,Yes,1.05,Jul 25 BMO,62.50%,3.01M,71.77,2.10,1.65%,4.19%,3.05%,"2,352,901",1.06%
9,AWK,Utilities , Water Utilities , USA,S&P; 500,26.53,3.33,0.20%,183.73M,0.20%,16.22B,24.80,3.56,-4.89%,182.31M,0.70%,595.00M,3.28,1.17,87.60%,2.38%,9.66%,3.37B,4.81,17.70%,1.88%,5.75,12.73%,32.04,2.76,8.50%,2.40%,92.82,8.00%,0.37,238.58,8.10%,8.50%,76.04 - 92.37,-3.49%,1.82,-,7.90%,6.70%,-4.41%,0.12,2.06%,0.30,3.30%,58.90%,16.12%,1.18,6900,0.30,1.10%,36.20%,59.31,1.09% 1.25%,Yes,1.46,23.70%,13.90%,0.87,87.59,Yes,1.11,Aug 01 AMC,64.50%,755.75K,88.30,2.30,0.57%,3.37%,4.27%,"659,911",0.81%
10,AMGN,Healthcare , Biotechnology , USA,S&P; 500,16.25,12.02,0.20%,653.20M,-0.48%,127.54B,13.47,14.50,-0.58%,646.06M,0.69%,8.46B,3.02,3.43,83.80%,1.55%,12.35%,23.19B,5.50,7.30%,-0.10%,3.64,8.77%,22.73,8.59,3.65%,3.20%,204.26,14.83%,45.00,4.34,5.38%,10.70%,163.31 - 201.23,12.28%,5.28,17.83,14.40%,14.00%,-2.97%,1.40,2.70%,3.10,5.80%,82.70%,19.56%,3.12,20800,3.40,4.30%,44.20%,54.34,1.31% 1.59%,Yes,2.31,19.40%,10.20%,0.69,195.76,Yes,2.03,Jul 26 AMC,134.80%,2.74M,195.26,2.30,0.46%,2.72%,7.96%,"1,898,256",-0.26%
